business_id,gold_summ,gen_summ,review1,review2,review3,review4,review5,review6,review7,review8
NWh0MGOPFAy7yElepNtIxg,"The beauty of this place is that it has high quality food and the menu has something for everyone anytime of the day. Overall the staff is friendly but depending on the day the wait might be long. For the price, everything is fresh and homemade.","Love this place! I've been here three times now and have never been disappointed. The food is delicious, fresh and delicious. The staff was friendly and helpful. I would definitely go back.","chopshop is the greatest versatile spot because you could literally eat all three meals of your day at this spot. from the breakfast sandwiches and açaí bowls, to the wraps and salads, and finally their protein bowls, chopshop has it all! my favorites are the moroccan turkey wrap and the chicken teriyaki protein bowl, you won't be disappointed trying either of these.","i've recently found this charming new restaurant although it's been around for many years. i love it. the food is really good and i just had the best service ever from ezra. she's kind, genuine, informative, real perfection in the restaurant world. and best of all great smile! keep up the good work chop shop!",poor quality food. steak sandwich with mushrooms had mushrooms than steak on it. steak was stone cold. i asked for a fresh one and it was so so. i didn't finish it. my girlfriends salad was called a 'chopped salad' the lumps of lettuce were never chopped. barely any chicken in it either. poor experience,"i love this place, everything tastes good and i love the healthy choices. i would prefer a more friendly and professional staff. but i guess all the 'to cool', pierced, tattoo'd people need to act like they don't really give a st # t so everyone knows they are cool.","perfect! real food. quality choices. fast. great service. not just various combinations of corn, wheat and sugar on the menu. if you only want more of that, go somewhere else. if you want food that will nourish your body, come here. we will definitely be back!","loved everything we ordered. we got a beet salad, the teriyaki chicken and forbidden rice bowl, and iced tea. would definitely return here again in a heartbeat. it was cute, clean and the prices were right. focus is on healthy eating, which is my favorite!",great spot. went there tonight for the first time. club sandwich was fantastic. friendly staff. comfortable seating. quiet and inviting. indulged on some toffee cookies for desert. milk too ‼. everything is fresh and homemade. very reasonable prices too.,had to go out to eat after eating a salad here. very expensive which i can deal with if you receive a healthy portion. could hardly see the quinoa and kale salad it was so puny. r.i.p. off!!! !
Nbhpg1TbDwtMuyh9ZIPceA,"This place is a small family owned Thai restaurant. The service is amazing, very kind, talkative, and helpful when necessary. The food is very good, particularly the panang curry is highly recommended. They give generous portions at very reasonable prices. Overall this place is recommended for authentic quality Thai food.","This place is fantastic! The food was delicious, and the service was great. I had the pad Thai and it was delicious. If you're looking for authentic Thai, this is the place to go.",it was okay but we were expecting more based on the reviews. the owner was very pleasant and engaging in conversation. the peanut sauce on the pad thai was delicious however the chicken was dry and my husband's sweet and sour chicken was more breading than meat and left him unsatisfied. maybe it was an off day?,"awesome little thai place! the food is amazing, my wife and i both loved our food! entree portions are generous, and they offer awesome lunch deals for $6.95. so happy to finally have a great thai restaurant on our side of town!! we'll definitely be back! !","this was one random little thai restaurant that i found on yelp.. and i'm happy i did. it was quaint and the service was great. the lady was so sweet, and food was awesome! i highly recommend this place if you're craving authentic and quick thai food!","i stumbled across this place by accident when a friend of mine was at churchs chicken. this place is incredible, the restaurant is spotless the staff was courteous and helpful, they also have orange chicken on the menu, but i highly recommend the panang curry, cant wait to go back","we got the thai fried rice, egg rolls and many others. fresh veggies, perfectly cooked rice and egg rolls! thai tea was delicious. good portions, not too much, friendly service: -). i look forward to going back and trying the curry.","this place was awful. i ordered tamarind duck and pad thai to go. it was like getting last weeks garbage. the food was very old, dried out, too tough to eat and i ended up throwing it all in the trash. total disappointment.","a little scary outside, inside a real gem. family gives attentive, friendly service. if something is not up to your expectations, they will work to make it right. this is genuine thai food, with spice levels to match. love the curries.",i had panang curry and j had thai spicy noddles. we have had thai food all over the world and this is as good as any we have had. the service is great and the prices are low. what else can you ask for.
Ohu6w8_RYE5KdHEWGdBjXQ,"The Mesa Arts Center is a clean modern place to see a variety of concerts and performances. Almost all the seats are great, and it is set up well for quality sound throughout the building. The area around the facility downtown is improving as well. Overall this building is recommended for a fun experience.",This is the second time I've been here and both times I have been here a couple of times. The staff is very friendly and helpful.,"went to see our favorite artist last night (gregory alan <UNK>) and were a little disappointed. beautiful and clean building and we'll forever love greg but we didn't love the venue. the acoustics were off, the seating was strange (hard to see and hear) and rather than fostering a welcoming visit the whole ordeal felt really rushed.","great place to see some interesting art, but only cell phones (no flash) pictures are allowed. the phoenix art museum allows <UNK> pictures with regular cameras and is a great place to get some interesting, unique pictures. it is sad the mesa arts center is not as open to editorial photography as its larger counterpart.",i love the mesa arts center. the concert halls and displays that come through are always great. plus the facility itself is really top notch and very well updated. hopefully downtown will continue to revive a bit and match the quality of the arts center as the city continues to help develop a healthy and thriving downtown.,"my favorite theater in phoenix! relatively new, and part of an arts complex with multiple theaters classes and loads of events throughout the year. theater has no bad seats and the events are super fun. come by and spend some $$in downtown mesa. also the light rail that goes here too.","no lie, i'd pay $20 more to see a concert here than i'd pay at 99% of the venues i've been to. clean, booming sounds with crisp highs and lovely <UNK> throughout the fiona apple show only make me wish more bands i love would come through mesa.","horrible seating very very disappointed at the show for the who's line is it anyway and very very disappointed since i'll show you the attachment photo of my view of the stage and what i can see the ikeda theater has horrible balcony seating. stay away from seats 3,4 balcony 11.",been coming here for years. many shows here and never a disappointment. great seats all around. great prices. great restaurants near by. i recommend coming here even if it's just to walk around. they have free outdoor shows often. i love my experience here.,mac is a great venue. matthew morrison was kinda boring though. the song choices sounded the same throughout the night. i almost wished he would stop singing and let the symphony play. the symphony was amazing. i would definitely go see them again. great talent.
OkC86YtZ0Nm19my5F4GGrQ,"Tartine is a nice place with a combination of good food and great atmosphere. Staff and manager are very hospitable and courteous. Their Baked Brie is a good option for lunch. Excellent wine list, but meat can be sometimes tough/dry. Recommended place.",The food here is a little pricey but worth every penny. I had the French onion soup and it was delicious. Service was great as well. Our server was very friendly and attentive.,love the atmosphere of this place. it tends to attract a slightly older crowd but that is okay by me! the brie was very good but the french onion soup was just okay. quite a bit if oil in it and it tasted under seasoned to me. i should have gotten the beet salad like my friend did! excellent wine list.,"amazing. excellent choice for lunch. baked brie and crab cake appetizer. perfect. lamb stew over phylo pastry had just the right amount of burgandy. steak a poivre was a small portion, amazing taste and cooked as ordered. outstanding choice for family, friends or customers. great service was a serendipity.",we were greeted cordially and given a prime outside table for 4 w / o a <UNK> was great from <UNK> had a true tartine experience 2 of us had duck confi tartines one chicken and my pork was slightly dry the others were awesome.the house red wine was great snd a great value.,first time going here and i was impressed. very cozy with a great vibe. staff is very polite (called me sir) and batender was very knowledgable about the wine. i would go back anytime. had some apps but i'm sure the food would have been awesome.,"my fiance and i really enjoyed eating here for dinner on a special night out. she especially loved the cheese plate and french onion soup. we thoroughly enjoyed our visit here, especially the warm hospitality from the owner who was there at dinner and welcomed us.","i'm not sure why i was so hard with my first review of tartine. the food is really good and although you are right on top of your neighboring table, that doesn't make it a 3. maybe i was being too selective that day...",i am not overwhelmed. been here twice and found the food to be just ok. had the strip steak (38 $) on my most recent visit. good flavor but the meat was tough. my daughter loves the ambiance so we will be back.,"the best combination of atmosphere, food, and 'vibe' in cleveland. would be great if they took reservations, but this is the rare place that gets me to suspend my usual 'no reservations / no business from me' policy."
Q2ZNaN3p8s_-XXjBWyY2qA,"The service at Ruth's steakhouse is serviceable though the location can be a bit loud. The food is made well and is generally good but has a small possibility to be on the bland side of things, however it is all priced well for visiting costumers.","Best meal I've ever had in a long time. The steak was tender and juicy, and the sides were great as well. Service was also very good. If you're looking for a new steakhouse, this is the place!","first time at this restaurant. from the greeting at the door, through the servers and other staff, service was impeccable. had the bbq shrimp and petit filet and my husband had the lobster bisque and petit filet. cooked to perfection. sides were lobster mac and mushrooms. delicious. recommend highly for a special dinner or to start the year off right.","it is great but compared to other ruth's chris in north america, both the service and the food are not as top levels as they should be here. thus, 3 instead off a regular 4 or 5. but the prices are as <UNK> place is pretty noisy as well, probably because it is in the basement with a low ceiling.","hey everyone! ruth's chris steak house is soooo delicious! i love it and am impressed every time. the steak comes out sizzling hot and is so moist. it's perfect! if your craving a really good steak and want to spend a little bit more then your typical restaurant, i highly recommend it! !","the best filet minion in toronto. super smooth and melts in your mouth. came here for winterlicious, great price point to try out different things. i had the caesar salad as an app and i wasn't impressed. i also got to try the stuffed chicken i must say it was delish.","had a top sirloin steak today with mushroom and potatoes and the meal was great. personally, i am not a big fan of letting the steak soak in butter, but the sizzle sounds nice when the steak gets there. it's a decent steak house and i'll come back for sure.","got the filet with a side of mac and cheese. steak was cooked very well, tried to be a little too fancy with the mac just needed to keep it simple. all in all good would have just gone to the keg if i had a choice.","if you blink you might miss this gem across the street from mather high school. family owned - super sweet, great service - pride in every <UNK> bite better than the <UNK> thai iced tea is the perfect <UNK> tell friends and for sure return",4 stars for the amazingly soft and tender steak! everything else weren't too great but the steaks at ruth's chris are hands down my favourite for now. had a steak from here for the first time and now i'm hooked!
QNfh79NwsNnl-AngRhg2ww,"The Food is okay, but quite expensive. The tuna was spicy and too much rice in the sushi. The price is quite high for the small quantity of food. The hostess was very much inexperienced and was unable to accommodate a party of two. Get a reservation before coming.","If you're looking for a quick Japanese meal, this is the place to go. I usually get the salmon and tuna roll. Both are delicious, but the service is terrible. I don't think I'll be back.","it's ok, nothing special. i still think sushi run is better. their price is kind of high for little amounts of food. hubby and i ordered 5 assorted sashimi and we only got about 10 pieces for $27. spicy tuna sushi had too much rice. the only cool thing about this spot is that it's actually japanese owned.","kingyo never disappoints whether you are in vancouver or <UNK> pressed mackerel is my favorite and a definite must try if you <UNK> is a bit expensive if you order mainly sashimi and sushi, but if you get their stone pot rice bowls or some noodles (tantan noodles!) they will help fill you up a bit more and they are always good.","hostess was outrageously inexperienced. gave random, false wait time and was still unable to accommodate a party of 2 with a table after having waited more than double the time as promised. that's 1.5 hr wait. no systematic booking system but a simply old note pad. don't bother coming without reservation. and don't trust the hostess.","they have limited amount for the deluxe lunch bento, which i recommend. the portion might not look a lot, but once you start eating you will get full in the end. i also tried the katsu-don bento, which is very good. so, make sure more than 2 people go so you can try variety from the menu.","food is a-ok! was a bit pricey, approx. $130 for 5 items and not full at all..... (could be because i eat a lot.... haha). even thought the server explain each dish, my friend and i still don't what we were eating.... probably won't come back again","ordered at 9: 15 and dishes started coming out in an hour, even for the most basic dishes. drinks took about 30 minutes to come out. ordered short ribs at 9: 15 and they came out at 11: 15. right before the store closes. never again and don't recommend.",now i don't need to wait for trips to vancouver to get my fix. this is the best japanese tavern in town. it's much more comfortable than guu (chairs have backs). the tuna tataki is brilliant. try the addictive pork ramen.,"i love kingyo, i'm always satisfied when i come here and have yet to order something i don't like. a couple of staples i always order are, the sashimi salad, tako wasabi, hamachi cheek, ebi shrimp the green tea matcha dessert."
QUs_7nqxo0xYE-KazHlx5A,"This hotel offers an excellent filling hot breakfast. They also offer dinner and snacks that can be delivered to your room. The rooms are very clean, the price is excellent, and customer service is great as well. This hotel is highly recommended.","This is the best hotel in town. I have stayed here a few times now and have never had a bad experience. The staff is friendly and helpful. The rooms are clean, spacious and clean.","checked in last night with a large group of people and gotta say: the staff is super professional and very nice. clean, quiet rooms. amenities are quite as nice as the marriott (small pool), but there is free wifi (connection is good and consistent) and breakfast and dinner snacks come with your room. so, good value.",we recently stayed here with a big group for a wedding that was taking place nearby. the customer service was exceptional! we had to ask for numerous extras and they were more than willing to help us! the hot breakfast was excellent as was the drink and snack hour in the evening. i would highly recommend this hotel! !,i have since stayed at this hotel two more times and i continue to be impressed. i remembered the staff and they remembered me and even made sure i got the best room they had in my price range. excellent customer service in a nice and professional environment. definitely what this traveler is looking for.,"my family stayed there over new year's from california as we attended the fiesta bowl in nearby glendale and i have to say i was really happy with our visit. the breakfast was solid, the room was nice and clean and the price was awesome. i'd stay here again.","this hotel is awesome. it is clean and new looking. when you walk into your room, it feels like you're the first person to stay in it. it has an indoor pool and hot tub. i loved the 5: 30 kickback - pretty much free dinner!","great experience here! very affordable, clean and had a great free breakfast. but if your that couple where one of you gets really cold, bring a blanket because the bedding is thin. i'm very picky with cleanliness of hotels and i was satisfied! :)",had not planned another overnight but pax needs changed so here i am. cutter aviation at deer valley airport set this room up for me. i've stayed here previously and sure like. all is just right. definitely an excellent choice near this airport.,"this hotel surprised me. it had great front desk people who checked me in with no issues late at night, a filling breakfast, and comfy bedrooms. it was a great place to stop and rest before driving up the mountains to flagstaff."
Q_BDMqf4tLrS_44g38dqXQ,This is the best Mexican food around. They have an amazing mole and all the food are of very high quality. The grilled chicken with Burrito Tropical is awesome. the specials are great and the service is amazing. But they do seem to run short of staff. Overall this place is amazing.,"This is the best Mexican restaurant in town. The service is great and the food is always fresh. I had the enchiladas and it was fantastic. The only thing I wish was that they had a lot of chips and salsa, but that's the only reason I come back.","we eat here every chance we get. we live about 30 minutes away, but we still get there every week or two. i love this place... the food is excellent and the manager is a sweetheart. the cheese enchiladas.... yeah... get those. also, the specials are always great! my favorite restaurant since moving to wisconsin!","the seating in the dining area is pretty bare. service was very fast, even had we not been occupied with the chips and <UNK> get the same thing pretty much every mexican place i go to (name that johnny depp movie) - enchiladas - and these were a cut above. meats were juicy without being runny or greasy.",i dont get the reviews? i tried this place twice in the last couple weeks and the food was ok at best. i sat in bar area both times and they seem to run short staffed as it took a while to be served and get refills both times. they do seem very friendly once they get to you.,i'm a big fan of the guacamole at casa del sol. they told me the make it fresh and i enjoy it. my boyfriend and i go fairly often and we love the endless chips and salsa (probably too much) and we like the entrees too. the service is always top notch.,"my favorite for mexican in the madison area, especially in the summer when you can sit outside on the deck. i've never had a bad meal here, and whatever the 'special of the day' is- order it. it's usually very good.",i love this place but went today and they were closed. so note that they are no longer open on sunday. but go the other 6 days. the pickled carrots that come with the chips and salsa are great. food and margs are as well.,the best mexican food around. the service is great. they have awesome mole and all the food is very high quality. they take a lot of pride in what they do. you should definitely try it. we have been going there for years.,"this place is amazing! quality ingredients and the best service in town. oscar is the greatest server!!! delish chips and salsa! the food is amazing, the burrito tropical with grilled chicken is to die for!! mmhmm"
REM8BezFuK4MQ6j2k1I7-Q,"This is a small mom-and-pop diner-style restaurant. The food is adequate, though generally not outstanding. The service is sometimes slow, even very slow. It has the classic diner feel. It's not recommended as a special trip, but can be fine for those in the area who don't mind having wait.",This place is a great place to go with friends. The food is pretty good and the service is great. I had the eggs Benedict and it was delicious. Will definitely be back!,"i have had breakfast here a couple times now. it's always busy weekend mornings, the customer service is always very good, however their food isn't all that impressionable. my oatmeal was missing some of the ingredients that it was supposed to have and their skillet ingredients aren't fresh. you're better off going home and making the stuff yourself.","walked in, it was nice and clean. silverware was spotless the waitress was nice but kinda of slow on attending to us. finally the lady at register noticed we were ready and approached us and took our order. the food was great and the drinks were great as well! very 'moms & pops' type of place! loved it","not bad for a little hole in the wall breakfast diner! i had the pancakes which by the way are huge, fluffy, and delicious. turkey sausage had good flavor. the homefries are decent. and the scrambled eggs were made just right. good service by the waitress. i would recommend this place to any person wanting breakfast.",this place has changed to stacks and yolks so we decided to give it another try. what a change!!! food was great. service was great. food was a little slow coming out because there was a car show but worth the wait. definitely worth another look if you've been to previous restaurant.,ok place i feel for what you get its a little pricey orange juice it's good but for sure its not fresh squeeze it has like a very weird sweet good flavor but i am sure it's not squeeze i don't think i'll be back,"this place has good food, not great but good. the decor is outdated and needs a good cleaning but i guess it can be good if you're looking for an old fashion <UNK> service is great and they get your food to you extremely fast.","arrived at 9: 50 am on a sunday morning.... seated rather quickly, then waited over an hour before our food came. the wait is not worth it, especially when you have kids. avoid this restaurant on a weekend.","pass on this place. food was ok, nothing special. service was bad. when you have to continually go to the counter to ask for things it kinda puts a damper on the dining experience. won't be going back."
RRpHuoXpxcuLk4LdB_YrOg,"The behind the counter workers make little to no effort to accommodate a customer's needs looking to make a purchase at this shop. It does have good reasonably priced gun range, complete with helpful and friendly instructors. If a customer is looking to have fun and just shoot some guns this place is highly recommended, if they are looking to make a purchase they may want to look elsewhere.","First time here and I will be back. The staff was friendly and helpful. Even though they were busy, we had to wait a few minutes for us to get our lane to be delivered. The guy who answered my phone was very helpful.",ok so this place came recommended by a coworker! but after standing in front of the counter and having two employees behind the counter look at me and ignore me and another to then walk right by me and say nothing just to walk over and start a conversation with the other two employees that is not customer service! guess i will take my business elsewhere!,i just want to say thank you to all the staff for their help and especially to jarred. he went above and beyond to answer all the questions i had and he gave me more information then i even expected to need. because of his customer service not only will i be returning but this is the only place i will come to make any purchases.,"they have shuttle service to varies resorts to pick you up. the driver was very friendly and able to discuss guns at length. 'little john' a range safety officer helped us and did the range work with us. we shot an ak-47 and the <UNK>. john was very knowledgeable, friendly and eager to help us have an awesome experience.",went to discount firearms and they taught our group valuable gun safety and then we shot awesome machine guns. it's was really cool. joe (owner) was there and was making sure we were having a great time and zach (firearm instructor) was very helpful and knowledgeable. all in all a great place to go!,"the shooting range at <UNK> is large, and although fairly busy i have never had to wait for a lane. the staff is friendly. prices are reasonable (get a frequent guest card to earn free range time). if in the market for a firearm, they have the largest selection i've witnessed in vegas.",went in on our anniversary to get the hubby a left handed rifle for his upcoming hunting trip. the lady behind the counter laughed and said that we had her at left handed - suggested my husband learn to shoot right handed. so disappointed. so much for being a credible gun dealer.,been coming here for years. $10 to get on the range. bring your own ammo. i'm sure there are rules about shooting reloads or steel core but i don't use that junk so i really couldn't tell you.,"called to ask about availability of magazines. unhelpful response = don't have them, on order but no idea when they will arrive. did not offer to take an order or call when stocked. no effort made to be courteous."
